時間,設備,值
2024-10-19 09:50:28,SA-20/LED_LEVEL,7
2024-10-19 09:50:49,SA-20/LED_LEVEL,6
2024-10-19 09:50:50,SA-20/LED_LEVEL,3
2024-10-19 09:50:50,SA-20/LED_LEVEL,1
2024-10-19 09:50:50,SA-20/LED_LEVEL,0
2024-10-19 09:50:59,SA-20/LED_LEVEL,3
2024-10-19 09:50:59,SA-20/LED_LEVEL,4
2024-10-19 09:50:59,SA-20/LED_LEVEL,10
2024-10-19 09:51:14,SA-20/LED_LEVEL,3
2024-10-19 09:51:17,SA-20/LED_LEVEL,5
2024-10-19 09:51:18,SA-20/LED_LEVEL,4
2024-10-19 09:51:20,SA-20/LED_LEVEL,0
2024-10-19 09:51:23,SA-20/LED_LEVEL,3
2024-10-19 09:51:24,SA-20/LED_LEVEL,6
2024-10-19 09:51:25,SA-20/LED_LEVEL,7
2024-10-19 09:51:26,SA-20/LED_LEVEL,0
2024-10-19 09:51:26,SA-20/LED_LEVEL,9
2024-10-19 09:51:28,SA-20/LED_LEVEL,10
2024-10-19 09:51:30,SA-20/LED_LEVEL,9
2024-10-19 09:51:31,SA-20/LED_LEVEL,7
2024-10-19 09:51:32,SA-20/LED_LEVEL,5
2024-10-19 09:51:32,SA-20/LED_LEVEL,4
2024-10-19 09:51:34,SA-20/LED_LEVEL,10
2024-10-19 09:51:34,SA-20/LED_LEVEL,4
2024-10-19 09:52:07,SA-20/LED_LEVEL,10
2024-10-19 09:52:37,SA-20/LED_LEVEL,4
2024-10-19 09:52:38,SA-20/LED_LEVEL,5
2024-10-19 09:52:39,SA-20/LED_LEVEL,4
2024-10-19 09:52:41,SA-20/LED_LEVEL,5
2024-10-19 09:52:46,SA-20/LED_LEVEL,4
2024-10-19 09:52:47,SA-20/LED_LEVEL,5
2024-10-19 09:52:47,SA-20/LED_LEVEL,4
2024-10-19 09:52:48,SA-20/LED_LEVEL,5
2024-10-19 09:52:48,SA-20/LED_LEVEL,4
2024-10-19 09:52:50,SA-20/LED_LEVEL,5
2024-10-19 09:52:54,SA-20/LED_LEVEL,4
2024-10-19 09:52:54,SA-20/LED_LEVEL,2
2024-10-19 09:52:55,SA-20/LED_LEVEL,0
2024-10-19 09:52:58,SA-20/LED_LEVEL,4
2024-10-19 09:52:58,SA-20/LED_LEVEL,5
2024-10-19 09:52:58,SA-20/LED_LEVEL,10
2024-10-19 09:52:59,SA-20/LED_LEVEL,4
2024-10-19 09:53:04,SA-20/LED_LEVEL,5
2024-10-19 09:53:04,SA-20/LED_LEVEL,4
2024-10-19 09:53:10,SA-20/LED_LEVEL,5
2024-10-19 09:53:10,SA-20/LED_LEVEL,4
2024-10-19 09:53:32,SA-20/LED_LEVEL,5
2024-10-19 09:53:32,SA-20/LED_LEVEL,4
2024-10-19 09:53:40,SA-20/LED_LEVEL,5
2024-10-19 09:53:40,SA-20/LED_LEVEL,4
2024-10-19 09:53:40,SA-20/LED_LEVEL,5
2024-10-19 09:53:44,SA-20/LED_LEVEL,4
2024-10-19 09:53:44,SA-20/LED_LEVEL,5
2024-10-19 09:53:46,SA-20/LED_LEVEL,4
2024-10-19 09:53:48,SA-20/LED_LEVEL,5
2024-10-19 09:53:50,SA-20/LED_LEVEL,4
2024-10-19 09:53:50,SA-20/LED_LEVEL,5
2024-10-19 09:53:52,SA-20/LED_LEVEL,4
2024-10-19 09:53:52,SA-20/LED_LEVEL,5
2024-10-19 09:53:54,SA-20/LED_LEVEL,4
2024-10-19 09:53:55,SA-20/LED_LEVEL,5
2024-10-19 09:53:56,SA-20/LED_LEVEL,4
2024-10-19 09:53:56,SA-20/LED_LEVEL,5
